Date,region_name,RR,ALTI,PMERM,INST,GLOT,DHUMI40,NEIGETOTX,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,GELEE,FUMEE,BRUME,ECLAIR,TX,TNSOL,FXY,DRR,year,density,Workday?,day_of_week,y_true,y_pred_rf,error_rf,abs_error_rf,ape_rf
2014-04-21,Occitanie,3.880253164556962,505.9203980099503,1005.3571428571428,238.5,1481.2333333333331,0.0530973451327433,6.281081081081081,0.7017543859649122,0.1052631578947368,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.2272727272727272,0.0,16.05393258426966,7.509090909090909,4.664814814814815,152.92857142857142,2014,78.06166422804614,0,0,28.89166572001969,32.806109832176496,-3.9144441121568043,3.9144441121568043,0.13548696529773038
2021-09-04,Nouvelle-Aquitaine,0.609282700421941,229.2983193277311,1016.0454545454544,343.0,1544.6486486486488,0.0,0.0,0.5652173913043478,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.7368421052631579,0.0,26.073300970873788,13.935897435897436,3.7109756097560975,4.125,2021,71.31761351707027,1,5,30.701465329412432,30.136070757819187,0.5653945715932451,0.5653945715932451,0.018415882282577255
2015-08-05,Île-de-France,0.0117647058823529,101.88888888888889,1013.8222222222222,776.8571428571429,2407.0714285714284,479.1851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.628888888888888,9.847058823529412,5.128571428571429,0.0,2015,1001.4468139934116,1,2,24.525862297287635,26.577427591730267,-2.051565294442632,2.051565294442632,0.08364905864423076
2019-09-14,Île-de-France,0.0416666666666666,103.06,1029.211111111111,697.6666666666666,1789.2222222222222,22.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,26.245238095238093,10.152380952380952,5.109523809523809,0.0,2019,1016.3995413607078,1,5,23.166481604469677,23.090537257933814,0.0759443465358629,0.0759443465358629,0.0032781994175770054
2021-08-28,Nouvelle-Aquitaine,0.0396624472573839,233.52941176470588,1019.2772727272728,681.7333333333333,2298.324324324324,159.2183908045977,0.0,0.0476190476190476,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.15,0.0,23.67536231884058,7.52051282051282,6.172839506172839,0.0,2021,71.31761351707027,1,5,30.9240591087813,29.793307074101467,1.1307520346798334,1.1307520346798334,0.036565446674918775
2017-03-21,Hauts-de-France,0.075,92.52941176470588,1011.8666666666668,273.3333333333333,1110.8,1.6857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206818181818182,4.8133333333333335,8.132352941176471,0.7,2017,187.571292576324,1,1,50.04034934454176,51.87977101008171,-1.8394216655399518,1.8394216655399518,0.03675876945837114
2017-06-18,Provence-Alpes-Côte d'Azur,0.0,735.3874345549738,1016.925,737.4444444444445,2729.0,455.9375,0.2535211267605634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.111188811188807,17.375,7.744827586206896,0.0,2017,158.83037304435098,1,6,38.85813444539634,38.812693435241755,0.04544101015458324,0.04544101015458324,0.0011694079191254822
2015-03-03,Bretagne,1.1630952380952382,93.24418604651164,1023.2928571428572,287.63157894736844,984.2727272727273,0.1282051282051282,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,10.79375,1.682608695652174,9.493333333333332,77.77777777777777,2015,120.28720724246472,1,1,45.732197883935214,47.18083213789528,-1.4486342539600656,1.4486342539600656,0.03167646255095421
2019-12-12,Île-de-France,13.874468085106384,104.40816326530611,997.2,4.5,135.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.626829268292683,0.5904761904761905,7.966666666666667,576.1,2019,1016.3995413607078,1,3,42.26007262440812,41.920097134387184,0.3399754900209331,0.3399754900209331,0.008044839225953561
2021-04-29,Normandie,0.0654761904761904,123.875,1011.3222222222222,389.0,1770.8,0.1290322580645161,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,12.043835616438356,2.0733333333333333,6.713513513513513,10.285714285714286,2021,110.49552988000458,1,3,43.49804054488538,46.943467674821164,-3.445427129935787,3.445427129935787,0.07920878931519645
2016-02-17,Grand Est,0.0279166666666666,295.6708333333333,1020.7,12.115384615384617,242.3125,0.0,1.1176470588235294,0.2666666666666666,0.0,0.0,0.0,0.0,0.125,0.375,0.0,0.4166666666666667,0.0,1.553896103896104,-3.645652173913043,4.947272727272727,0.0833333333333333,2016,96.27868783510446,1,2,60.77168253232205,60.68768407456857,0.0839984577534807,0.0839984577534807,0.001382197336645785
2016-11-18,Île-de-France,0.122,101.9423076923077,1003.0666666666668,277.0,550.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.797619047619047,5.177272727272728,10.486363636363636,5.2,2016,1004.3468473921198,1,4,36.58902123043638,39.102289412784366,-2.5132681823479857,2.5132681823479857,0.06868913398455288
2018-09-17,Normandie,0.0166666666666666,125.36046511627907,1015.2333333333332,667.4,1740.2,405.3,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,27.93846153846154,3.75,6.5212121212121215,0.1428571428571428,2018,110.47929404282615,1,0,39.34813073088109,40.02586471389001,-0.6777339830089204,0.6777339830089204,0.01722404521505726
2020-07-19,Hauts-de-France,0.2840579710144927,92.78260869565216,1017.4916666666668,516.75,2243.8888888888887,201.65714285714284,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,26.005454545454544,6.2875,6.376470588235295,39.285714285714285,2020,187.38130986863615,1,6,32.571968013253006,33.44337234506341,-0.8714043318104032,0.8714043318104032,0.026753198676491115
